aid,diffmaglim,fid,mjd,oid,sid,tid
"",18.0763,2,59190.13570600003,"ZTF20acozeqm","","ztf"
"",20.0653,2,59193.22385419998,"ZTF20acozeqm","","ztf"
"",18.3796,2,59197.23688660003,"ZTF20acozeqm","","ztf"
"",19.7379,2,59199.234502300154,"ZTF20acozeqm","","ztf"
"",19.7179,2,59202.28225689987,"ZTF20acozeqm","","ztf"
"",19.9068,2,59204.17767360015,"ZTF20acozeqm","","ztf"
"",17.842,2,59206.22590279998,"ZTF20acozeqm","","ztf"
"",19.4117,2,59210.16387729999,"ZTF20acozeqm","","ztf"
"",19.9623,2,59218.18347219983,"ZTF20acozeqm","","ztf"
"",19.9522,2,59220.22217589989,"ZTF20acozeqm","","ztf"
"",20.0442,2,59222.21748840017,"ZTF20acozeqm","","ztf"
"",19.4574,2,59224.2197106001,"ZTF20acozeqm","","ztf"
"",19.644,2,59226.11868060008,"ZTF20acozeqm","","ztf"
"",19.0015,2,59228.11982640019,"ZTF20acozeqm","","ztf"
"",19.9916,2,59230.11538190022,"ZTF20acozeqm","","ztf"
"",20.2028,2,59376.44842590019,"ZTF20acozeqm","","ztf"
"",20.1242,2,59380.36797450017,"ZTF20acozeqm","","ztf"
"",19.6056,2,59385.34548609983,"ZTF20acozeqm","","ztf"
"",20.3825,2,59397.40703700017,"ZTF20acozeqm","","ztf"
"",20.2823,2,59407.32613429986,"ZTF20acozeqm","","ztf"
"",20.3057,2,59409.305405099876,"ZTF20acozeqm","","ztf"
"",19.9801,2,59411.24765049992,"ZTF20acozeqm","","ztf"
"",20.1767,2,59414.30843750015,"ZTF20acozeqm","","ztf"
"",20.1254,2,59417.44914350007,"ZTF20acozeqm","","ztf"
"",18.423,2,59419.44564810023,"ZTF20acozeqm","","ztf"
"",20.5447,2,59459.24560189992,"ZTF20acozeqm","","ztf"
"",20.5459,2,59461.305636600126,"ZTF20acozeqm","","ztf"
"",20.5252,2,59463.29826389998,"ZTF20acozeqm","","ztf"
"",20.4884,2,59465.371678200085,"ZTF20acozeqm","","ztf"
"",20.5409,2,59467.38518519979,"ZTF20acozeqm","","ztf"
"",20.5438,2,59469.38775460003,"ZTF20acozeqm","","ztf"
