aid,diffmaglim,fid,mjd,oid,sid,tid
"",20.3348,1,59968.18024310004,"ZTF18acukdvz","","ztf"
"",19.6808,1,59970.26240740018,"ZTF18acukdvz","","ztf"
"",20.3173,1,59972.237939800136,"ZTF18acukdvz","","ztf"
"",19.3051,1,59979.2389814998,"ZTF18acukdvz","","ztf"
"",19.1367,1,59981.123124999925,"ZTF18acukdvz","","ztf"
"",20.3652,1,60259.435705999844,"ZTF18acukdvz","","ztf"
"",19.8864,1,60268.40094910003,"ZTF18acukdvz","","ztf"
"",20.6836,1,60290.341330999974,"ZTF18acukdvz","","ztf"
"",20.1487,1,60293.278796299826,"ZTF18acukdvz","","ztf"
"",20.2731,1,60293.317881899886,"ZTF18acukdvz","","ztf"
"",20.1797,1,60293.33697920013,"ZTF18acukdvz","","ztf"
"",20.6681,2,58514.14447919978,"ZTF18acukdvz","","ztf"
"",20.5847,2,58523.185636600014,"ZTF18acukdvz","","ztf"
"",19.4261,2,58526.20241900021,"ZTF18acukdvz","","ztf"
"",19.2458,2,58534.20438659983,"ZTF18acukdvz","","ztf"
"",18.0466,2,58538.15168979997,"ZTF18acukdvz","","ztf"
"",19.1825,2,58558.166539399885,"ZTF18acukdvz","","ztf"
"",19.679,2,58741.47658560006,"ZTF18acukdvz","","ztf"
"",20.455,2,58756.50237269979,"ZTF18acukdvz","","ztf"
"",20.4652,2,58759.497580999974,"ZTF18acukdvz","","ztf"
"",20.4656,2,58766.5032060002,"ZTF18acukdvz","","ztf"
"",19.7378,2,58769.460706000216,"ZTF18acukdvz","","ztf"
"",19.3188,2,58772.52309030015,"ZTF18acukdvz","","ztf"
"",19.4006,2,58776.44116900023,"ZTF18acukdvz","","ztf"
"",20.182,2,58779.330196800176,"ZTF18acukdvz","","ztf"
"",19.921,2,58785.48413190013,"ZTF18acukdvz","","ztf"
"",19.7868,2,58833.27578700008,"ZTF18acukdvz","","ztf"
"",19.3419,2,58833.29342589993,"ZTF18acukdvz","","ztf"
"",20.0223,2,58836.43712959997,"ZTF18acukdvz","","ztf"
"",19.3543,2,58850.140775499865,"ZTF18acukdvz","","ztf"
"",19.7113,2,58853.173750000075,"ZTF18acukdvz","","ztf"
"",18.8245,2,58859.35368059995,"ZTF18acukdvz","","ztf"
"",19.1313,2,58860.20932869986,"ZTF18acukdvz","","ztf"
"",19.3715,2,58860.21658559982,"ZTF18acukdvz","","ztf"
"",19.2934,2,59094.44969910011,"ZTF18acukdvz","","ztf"
"",19.7082,2,59095.479328699876,"ZTF18acukdvz","","ztf"
"",20.1181,2,59149.43454860011,"ZTF18acukdvz","","ztf"
"",19.8925,2,59152.443090300076,"ZTF18acukdvz","","ztf"
"",19.7956,2,59155.43299769983,"ZTF18acukdvz","","ztf"
"",20.1999,2,59168.35074070003,"ZTF18acukdvz","","ztf"
"",19.7171,2,59173.40243060002,"ZTF18acukdvz","","ztf"
"",20.2879,2,59249.206400500145,"ZTF18acukdvz","","ztf"
"",20.5004,2,59251.19103009999,"ZTF18acukdvz","","ztf"
"",20.3028,2,59253.28190970002,"ZTF18acukdvz","","ztf"
"",20.4529,2,59255.26449069986,"ZTF18acukdvz","","ztf"
"",20.7377,2,59257.23831020016,"ZTF18acukdvz","","ztf"
"",19.2865,2,59260.23271990009,"ZTF18acukdvz","","ztf"
"",19.7786,2,59263.191736099776,"ZTF18acukdvz","","ztf"
"",20.6157,2,59280.1661111,"ZTF18acukdvz","","ztf"
"",19.6753,2,59292.20790510019,"ZTF18acukdvz","","ztf"
"",19.1331,2,59296.155567099806,"ZTF18acukdvz","","ztf"
"",19.1625,2,59298.15155090019,"ZTF18acukdvz","","ztf"
