gweventname,J120437.98+500024.0,J124942.30+344928.9,J140941.88+552928.1,J143157.51+451544.0,J143536.15+173755.4,J145500.22+321637.1,J152433.35+274311.6,J154342.46+461233.4,J154806.31+291216.3,J160822.16+401217.8,J161833.77+263226.0,J163641.61+092459.2,J181719.95+541910.0,J183412.42+365655.2,J224333.95+760619.2,J233252.05+034559.7,J233746.08-013116.3
GW190412,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190512_180714,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190707_093326,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190708_232457,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GW190720_000836,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190728_064510,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190814,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190828_065509,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190924_021846,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190930_133541,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190725_174728,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190917_114630,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190925_232845,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW191103_012549,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW191105_143521,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW191113_071753,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW191126_115259,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW191129_134029,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW191204_171526,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW191216_213338,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW200202_154313,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW200210_092254,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW200225_060421,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW200316_215756,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
