gweventname,f_cover,skymap_path,name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW190403_051519,0.499,/hildafs/projects/phy220048p/share/skymaps/IGWN-GWTC2p1-v2-PESkyMaps/IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits,GW190403_051519,GW190403_051519-v1,1238303737.2,1.0,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190403_051519-v1,85.0,-33.0,27.8,20.0,-8.4,26.3,7.6,-1.1,0.6,8280.0,-4290.0,6720.0,0.68,-0.43,0.16,106.6,-23.6,26.7,34.0,-8.4,15.1,,,,1.18,-0.53,0.73,7.7,,,0.60924,,,102.2,-24.3,26.3
GW190424_180648,0.563,/hildafs/projects/phy220048p/share/skymaps/all_skymaps/GW190424_180648_C01:NRSur7dq4.fits,GW190424_180648,GW190424_180648-v2,1240164426.1,2.0,GWTC-2.1-auxiliary,,https://gwosc.org/api/v2/event-versions/GW190424_180648-v2,,,,,,,10.0939769744873,,,,,,,,,,,,,,,,,,,,,9.03878554692412,,,0.1211015151946331,,,,,
GW190514_065416,0.652,/hildafs/projects/phy220048p/share/skymaps/all_skymaps/GW190514_065416_C01:NRSur7dq4.fits,GW190514_065416,GW190514_065416-v2,1241852074.8,2.0,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190514_065416-v2,40.9,-9.3,17.3,28.4,-10.1,10.0,8.0,-0.6,0.3,3890.0,-2070.0,2610.0,-0.08,-0.35,0.29,69.3,-12.1,19.8,29.1,-5.4,8.1,,,,0.64,-0.3,0.33,2.8,,,0.76021,,,66.4,-11.5,19.0
GW190521,0.384,/hildafs/projects/phy220048p/share/skymaps/all_skymaps/GW190521_C01:NRSur7dq4.fits,GW190521,GW190521_030229-v4,1242442967.4,4.0,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190521-v4,98.4,-21.7,33.6,57.2,-30.1,27.1,14.3,-0.4,0.5,3310.0,-1800.0,2790.0,-0.14,-0.45,0.5,153.1,-16.2,42.2,63.3,-14.6,19.6,,,,0.56,-0.27,0.36,0.0013,,,0.99989,,,147.4,-16.0,40.0
GW190803_022701,0.91,/hildafs/projects/phy220048p/share/skymaps/all_skymaps/GW190803_022701_C01:NRSur7dq4.fits,GW190803_022701,GW190803_022701-v2,1248834439.8,2.0,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190803_022701-v2,37.7,-6.7,9.8,27.6,-8.5,7.6,9.3,-0.5,0.3,3190.0,-1470.0,1630.0,-0.01,-0.28,0.23,65.0,-8.1,12.0,27.6,-3.8,5.4,,,,0.54,-0.22,0.22,0.073,,,0.97383,,,62.1,-7.6,11.2
GW190909_114149,0.57,/hildafs/projects/phy220048p/share/skymaps/all_skymaps/GW190909_114149_C01:SEOBNRv4PHM.fits,GW190909_114149,GW190909_114149-v2,1252064527.7,2.0,GWTC-2.1-auxiliary,,https://gwosc.org/api/v2/event-versions/GW190909_114149-v2,,,,,,,9.047895,,,,,,,,,,,,,,,,,,,,,26.1830194416,,,0.1525430959725358,,,,,
GW200216_220804,0.861,/hildafs/projects/phy220048p/share/skymaps/skymaps/IGWN-GWTC3p0-v1-GW200216_220804_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits,GW200216_220804,GW200216_220804-v1,1265926102.8,1.0,GWTC-3-confident,https://doi.org/10.7935/b024-1886,https://gwosc.org/api/v2/event-versions/GW200216_220804-v1,51.0,-13.0,22.0,30.0,-16.0,14.0,8.1,-0.5,0.4,3800.0,-2000.0,3000.0,0.1,-0.36,0.34,81.0,-14.0,20.0,32.9,-8.5,9.3,,,,0.63,-0.29,0.37,0.35,,,0.77277,,,78.0,-13.0,19.0
GW200220_124850,0.5,/hildafs/projects/phy220048p/share/skymaps/skymaps/IGWN-GWTC3p0-v1-GW200220_124850_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits,GW200220_124850,GW200220_124850-v1,1266238148.1,1.0,GWTC-3-confident,https://doi.org/10.7935/b024-1886,https://gwosc.org/api/v2/event-versions/GW200220_124850-v1,38.9,-8.6,14.1,27.9,-9.0,9.2,8.5,-0.5,0.3,4000.0,-2200.0,2800.0,-0.07,-0.33,0.27,67.0,-12.0,17.0,28.2,-5.1,7.3,,,,0.66,-0.31,0.36,30.0,,,0.82579,,,64.0,-11.0,16.0
