aid,diffmaglim,fid,mjd,oid,sid,tid
"",19.5463,1,59862.1780208,"ZTF21aaihgbk","","ztf"
"",20.5307,1,59874.17939809989,"ZTF21aaihgbk","","ztf"
"",20.3442,1,59879.15781249991,"ZTF21aaihgbk","","ztf"
"",19.4504,1,59885.15888890019,"ZTF21aaihgbk","","ztf"
"",18.6628,1,59888.17550930008,"ZTF21aaihgbk","","ztf"
"",19.4773,1,59896.15261569992,"ZTF21aaihgbk","","ztf"
"",20.3608,1,59898.1108448999,"ZTF21aaihgbk","","ztf"
"",19.4232,1,59899.15582180023,"ZTF21aaihgbk","","ztf"
"",16.9388,1,59901.1188542,"ZTF21aaihgbk","","ztf"
"",18.3938,1,59905.11782409996,"ZTF21aaihgbk","","ztf"
"",19.3514,1,60042.40364579996,"ZTF21aaihgbk","","ztf"
"",19.6759,1,60042.406990699936,"ZTF21aaihgbk","","ztf"
"",20.7967,1,60064.47241900023,"ZTF21aaihgbk","","ztf"
"",19.9886,1,60072.42914350005,"ZTF21aaihgbk","","ztf"
"",19.968,1,60072.431053199805,"ZTF21aaihgbk","","ztf"
"",20.9365,1,60078.36538190022,"ZTF21aaihgbk","","ztf"
"",19.7829,1,60098.43166670017,"ZTF21aaihgbk","","ztf"
"",19.681,1,60098.446562500205,"ZTF21aaihgbk","","ztf"
"",19.5395,1,60100.19866900006,"ZTF21aaihgbk","","ztf"
"",19.5771,1,60100.224131899886,"ZTF21aaihgbk","","ztf"
"",18.0378,1,60102.26047449978,"ZTF21aaihgbk","","ztf"
"",18.2023,1,60102.26096059987,"ZTF21aaihgbk","","ztf"
"",17.298,1,60111.39043979999,"ZTF21aaihgbk","","ztf"
"",17.7023,1,60111.39091440011,"ZTF21aaihgbk","","ztf"
"",20.0678,1,60125.31950230012,"ZTF21aaihgbk","","ztf"
"",20.2893,1,60126.429004599806,"ZTF21aaihgbk","","ztf"
"",19.6337,1,60127.22150459979,"ZTF21aaihgbk","","ztf"
"",19.4249,1,60128.44743059995,"ZTF21aaihgbk","","ztf"
"",20.5422,1,60143.41356479982,"ZTF21aaihgbk","","ztf"
"",20.8387,1,60145.24045140017,"ZTF21aaihgbk","","ztf"
"",20.7462,1,60149.33250000002,"ZTF21aaihgbk","","ztf"
"",20.258,1,60153.3198958002,"ZTF21aaihgbk","","ztf"
"",20.2797,1,60155.427534699906,"ZTF21aaihgbk","","ztf"
"",19.7045,1,60156.2255092999,"ZTF21aaihgbk","","ztf"
"",19.2802,1,60158.375,"ZTF21aaihgbk","","ztf"
"",20.0163,1,60160.32660879986,"ZTF21aaihgbk","","ztf"
"",19.2209,1,60169.34662039997,"ZTF21aaihgbk","","ztf"
"",20.49,1,60170.32348380005,"ZTF21aaihgbk","","ztf"
"",20.4243,1,60174.352233800106,"ZTF21aaihgbk","","ztf"
"",17.2908,1,60175.186770800035,"ZTF21aaihgbk","","ztf"
"",20.218,1,60182.24104169989,"ZTF21aaihgbk","","ztf"
"",20.0002,1,60184.19986109994,"ZTF21aaihgbk","","ztf"
"",19.8068,1,60186.1832059999,"ZTF21aaihgbk","","ztf"
"",19.6743,1,60187.16552079981,"ZTF21aaihgbk","","ztf"
"",20.1733,1,60211.216828700155,"ZTF21aaihgbk","","ztf"
"",19.9272,1,60212.21819439996,"ZTF21aaihgbk","","ztf"
"",19.6221,1,60213.14377309987,"ZTF21aaihgbk","","ztf"
"",19.8182,1,60215.17560190009,"ZTF21aaihgbk","","ztf"
"",19.5025,1,60216.208217599895,"ZTF21aaihgbk","","ztf"
"",19.6943,1,60220.221805599984,"ZTF21aaihgbk","","ztf"
"",19.6288,1,60220.22427080013,"ZTF21aaihgbk","","ztf"
"",20.0345,1,60222.17535880022,"ZTF21aaihgbk","","ztf"
"",19.7266,1,60227.21881939983,"ZTF21aaihgbk","","ztf"
"",20.4477,1,60231.175439800136,"ZTF21aaihgbk","","ztf"
"",19.5313,1,60245.119618100114,"ZTF21aaihgbk","","ztf"
"",19.9499,1,60249.119386599865,"ZTF21aaihgbk","","ztf"
"",19.5373,1,60389.43030089978,"ZTF21aaihgbk","","ztf"
"",19.898,1,60389.43414349994,"ZTF21aaihgbk","","ztf"
"",19.4714,1,60391.38998840004,"ZTF21aaihgbk","","ztf"
"",20.0005,1,60391.49478009995,"ZTF21aaihgbk","","ztf"
"",19.2957,1,60396.408738399856,"ZTF21aaihgbk","","ztf"
"",19.4192,1,60396.40921299998,"ZTF21aaihgbk","","ztf"
"",19.7643,1,60398.49599540001,"ZTF21aaihgbk","","ztf"
"",20.6053,1,60404.43582180003,"ZTF21aaihgbk","","ztf"
"",19.1205,1,60418.4421759001,"ZTF21aaihgbk","","ztf"
"",19.4898,1,60423.357523099985,"ZTF21aaihgbk","","ztf"
"",19.4701,1,60423.35894680023,"ZTF21aaihgbk","","ztf"
"",16.3832,1,60431.3811805998,"ZTF21aaihgbk","","ztf"
"",20.8745,1,60447.403750000056,"ZTF21aaihgbk","","ztf"
"",20.5588,1,60500.32637730008,"ZTF21aaihgbk","","ztf"
"",20.5743,1,60500.3268519002,"ZTF21aaihgbk","","ztf"
"",20.5159,1,60502.28223379981,"ZTF21aaihgbk","","ztf"
"",20.5685,1,60502.302476900164,"ZTF21aaihgbk","","ztf"
"",20.6919,1,60504.32547450019,"ZTF21aaihgbk","","ztf"
"",20.6435,1,60504.32641200023,"ZTF21aaihgbk","","ztf"
"",20.7308,1,60507.3448379999,"ZTF21aaihgbk","","ztf"
"",20.6262,1,60507.41379630007,"ZTF21aaihgbk","","ztf"
"",20.112,1,60509.38865739992,"ZTF21aaihgbk","","ztf"
"",20.1187,1,60509.389606500044,"ZTF21aaihgbk","","ztf"
"",19.3606,1,60511.385833300184,"ZTF21aaihgbk","","ztf"
"",19.2382,1,60511.4146412001,"ZTF21aaihgbk","","ztf"
"",19.7651,1,60513.24453700008,"ZTF21aaihgbk","","ztf"
"",19.4633,1,60514.407777800225,"ZTF21aaihgbk","","ztf"
"",19.8631,1,60515.29888889985,"ZTF21aaihgbk","","ztf"
"",19.9513,1,60516.2849653,"ZTF21aaihgbk","","ztf"
"",19.9661,1,60518.32805560017,"ZTF21aaihgbk","","ztf"
"",20.6801,1,60519.26072920021,"ZTF21aaihgbk","","ztf"
"",20.6951,1,60527.200057900045,"ZTF21aaihgbk","","ztf"
"",19.8499,2,59231.535092600156,"ZTF21aaihgbk","","ztf"
"",20.1815,2,59248.53423610004,"ZTF21aaihgbk","","ztf"
"",20.1009,2,59248.54427079996,"ZTF21aaihgbk","","ztf"
"",20.0536,2,59250.53789350018,"ZTF21aaihgbk","","ztf"
"",20.0608,2,59250.53884259984,"ZTF21aaihgbk","","ztf"
"",20.5088,2,59252.50637729978,"ZTF21aaihgbk","","ztf"
"",20.5199,2,59252.506863399874,"ZTF21aaihgbk","","ztf"
"",19.4976,2,59258.49627309991,"ZTF21aaihgbk","","ztf"
"",19.3149,2,59263.47101850016,"ZTF21aaihgbk","","ztf"
"",19.4162,2,59263.4938542,"ZTF21aaihgbk","","ztf"
"",19.6091,2,59266.53040509997,"ZTF21aaihgbk","","ztf"
"",19.6079,2,59267.42924770014,"ZTF21aaihgbk","","ztf"
"",20.2447,2,59269.51615739986,"ZTF21aaihgbk","","ztf"
"",19.4073,2,59270.492013900075,"ZTF21aaihgbk","","ztf"
"",17.7551,2,59271.49871530011,"ZTF21aaihgbk","","ztf"
"",19.3456,2,59272.47479170002,"ZTF21aaihgbk","","ztf"
"",19.463,2,59274.512569400016,"ZTF21aaihgbk","","ztf"
"",19.9686,2,59275.52576390002,"ZTF21aaihgbk","","ztf"
"",19.9317,2,59276.499895799905,"ZTF21aaihgbk","","ztf"
"",20.0956,2,59280.45583330002,"ZTF21aaihgbk","","ztf"
"",20.1233,2,59280.456770800054,"ZTF21aaihgbk","","ztf"
"",19.6466,2,59297.39371530013,"ZTF21aaihgbk","","ztf"
"",19.6011,2,59297.394189800136,"ZTF21aaihgbk","","ztf"
"",19.375,2,59300.450972199906,"ZTF21aaihgbk","","ztf"
"",19.2439,2,59301.43000000017,"ZTF21aaihgbk","","ztf"
"",19.6525,2,59302.426990699954,"ZTF21aaihgbk","","ztf"
"",19.6386,2,59303.47186340019,"ZTF21aaihgbk","","ztf"
"",19.5145,2,59304.44961810019,"ZTF21aaihgbk","","ztf"
"",20.1919,2,59309.49393519992,"ZTF21aaihgbk","","ztf"
"",20.7291,2,59311.48665509978,"ZTF21aaihgbk","","ztf"
"",20.6932,2,59311.48712959979,"ZTF21aaihgbk","","ztf"
"",20.301,2,59313.449201399926,"ZTF21aaihgbk","","ztf"
"",20.1948,2,59315.44966439996,"ZTF21aaihgbk","","ztf"
"",19.6773,2,59315.45015050005,"ZTF21aaihgbk","","ztf"
"",20.5046,2,59317.45026620012,"ZTF21aaihgbk","","ztf"
"",20.3151,2,59320.468298600055,"ZTF21aaihgbk","","ztf"
"",19.9794,2,59322.282500000205,"ZTF21aaihgbk","","ztf"
"",19.5944,2,59324.260023099836,"ZTF21aaihgbk","","ztf"
"",20.5252,2,59325.47368060006,"ZTF21aaihgbk","","ztf"
"",19.7003,2,59328.30651619984,"ZTF21aaihgbk","","ztf"
"",19.9293,2,59329.457013899926,"ZTF21aaihgbk","","ztf"
"",20.112,2,59334.41200229991,"ZTF21aaihgbk","","ztf"
"",19.3026,2,59335.38739580009,"ZTF21aaihgbk","","ztf"
"",20.2166,2,59337.452152799815,"ZTF21aaihgbk","","ztf"
"",20.5998,2,59339.450104199816,"ZTF21aaihgbk","","ztf"
"",20.7106,2,59345.454710599966,"ZTF21aaihgbk","","ztf"
"",18.7782,2,59347.37140050018,"ZTF21aaihgbk","","ztf"
"",19.8621,2,59354.43050929997,"ZTF21aaihgbk","","ztf"
"",20.1931,2,59357.45503470022,"ZTF21aaihgbk","","ztf"
"",19.8559,2,59359.38725689985,"ZTF21aaihgbk","","ztf"
"",19.7827,2,59361.43269680021,"ZTF21aaihgbk","","ztf"
"",19.9547,2,59362.32459490001,"ZTF21aaihgbk","","ztf"
"",20.2616,2,59363.41065970017,"ZTF21aaihgbk","","ztf"
"",20.4594,2,59364.34825230017,"ZTF21aaihgbk","","ztf"
"",20.7731,2,59373.379120400175,"ZTF21aaihgbk","","ztf"
"",20.6723,2,59373.4166203998,"ZTF21aaihgbk","","ztf"
"",20.4698,2,59377.38692130009,"ZTF21aaihgbk","","ztf"
"",20.6631,2,59379.36525460007,"ZTF21aaihgbk","","ztf"
"",20.5491,2,59379.385555599816,"ZTF21aaihgbk","","ztf"
"",19.9323,2,59381.384664400015,"ZTF21aaihgbk","","ztf"
"",20.0411,2,59381.38659719983,"ZTF21aaihgbk","","ztf"
"",16.9413,2,59383.32461810019,"ZTF21aaihgbk","","ztf"
"",20.2103,2,59386.38827549992,"ZTF21aaihgbk","","ztf"
"",20.2921,2,59386.402338000014,"ZTF21aaihgbk","","ztf"
