gweventname,J120437.98+500024.0,J124942.30+344928.9,J140941.88+552928.1,J143157.51+451544.0,J143536.15+173755.4,J145500.22+321637.1,J152433.35+274311.6,J154342.46+461233.4,J154806.31+291216.3,J160822.16+401217.8,J161833.77+263226.0,J163641.61+092459.2,J181719.95+541910.0,J183412.42+365655.2,J224333.95+760619.2,J233252.05+034559.7,J233746.08-013116.3
GW190403_051519,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190426_190642,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
GW190514_065416,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
GW190521,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190620_030421,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
GW190708_232457,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GW190719_215514,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
GW190803_022701,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
